1|임무용 아이템
73|마인의 진혼곡
74|군신의 찬가
75|죽음의 화살비
76|전장의 노래
77|스톤
78|케알
79|에어로
7a|성전 태세
7b|프로테스
7c|메디카
7d|레이즈
7e|에스나
7f|스톤라
80|휴면
81|스톤스킨
82|여신의 가호
83|케알가
84|에어로라
85|메디카라
86|물의 오라
87|케알라
88|쾌속의 마법
89|리제네
8a|신성한 문장
8b|홀리
8c|거룩한 축복
8d|파이어
8e|블리자드
8f|견고한 마법
90|선더
91|슬리플
92|블리자라
93|파이라
94|선더라
95|속성 전환
96|신속한 마법
97|무력화
98|파이가
99|선더가
9a|블리자가
9b|에테르 촉진
9c|컬랩스
9d|마배리어
9e|생명력 변환
9f|프리즈
a0|구원
a1|마법 장벽
a2|플레어
a3|루인
a4|바이오
a5|소환
a6|에테르 순환
a7|생명력 흡수
a8|미아즈마
a9|바이러스
aa|소환 2
ab|독려
ac|루인라
ad|부활
ae|전염
af|눈에는 눈
b0|각성
b1|미아즈라
b2|바이오라
b3|섀도우 플레어
b4|소환 3
b5|미아즈마 버스트
b6|트라이바인드
b7|자극
b8|점화
b9|고무격려책
ba|사기고양책
bb|생명정화술
bc|야전치유진
bd|생명활성술
be|치유술
bf|스톤라스킨
c4|반격 효과
c5|방패의 벽
c6|강력 방어
c7|철벽 요새
c8|브레이버
c9|쾌검난무
ca|파이널 헤븐
cb|하늘의 조각
cc|프티 메테오
cd|메테오
ce|치유의 바람
cf|대지의 숨결
d0|생명의 고동
d2|원예가의 눈
d3|숲의 부름
d4|은신
d5|통찰
d6|개척자의 손
d7|농부의 지혜
d8|나무꾼의 수완
d9|노피카의 가호
da|현장 경험
db|비레고의 가호
dc|현장 경험 2
dd|숲의 탐구자
de|축복받은 수확
e0|축복받은 수확 2
e1|잎갈이
e2|잎갈이 2
e3|광부의 눈
e4|바위의 부름
e5|은신
e6|통찰
e7|산길잡이의 직감
e8|석공의 이론
e9|조각사의 힘
ea|날달의 가호
eb|뚜렷한 시야
ec|메느피나의 가호
ed|뚜렷한 시야 2
ee|광산의 탐구자
ef|왕의 수익
f1|왕의 수익 2
f2|발굴
f3|발굴 2
f4|안정된 솜씨
f5|안정된 솜씨
f6|안정된 솜씨
f7|안정된 솜씨
f8|안정된 솜씨
f9|안정된 솜씨
fa|안정된 솜씨
fb|안정된 솜씨
fc|정신 집중
fd|정신 집중
fe|정신 집중
ff|정신 집중
100|정신 집중
101|정신 집중
102|정신 집중
103|정신 집중
104|장족의 발전
105|장족의 발전
106|장족의 발전
107|장족의 발전
108|장족의 발전
109|장족의 발전
10a|장족의 발전
10b|장족의 발전
10c|생미끼 낚시 2
10d|이중 낚아채기
10e|발굴 3
10f|잎갈이 3
110|막대한 수익 2
111|막대한 수확 2
112|날달의 인도
113|노피카의 인도
114|긴장 완화
115|독창적 발상
116|교묘한 손놀림
117|근검절약
119|안정된 솜씨 2
11b|독창적 발상 2
11c|혁신
11d|근검절약 2
11e|작업 요령
11f|재활용
120|미끼 선택
121|낚싯대 던지기
122|숲의 부름 2
123|바위의 부름 2
124|리믈렌의 가호
125|살리아크의 가호
126|현장 경험 3
127|뚜렷한 시야 3
128|낚아채기
129|생미끼 낚시
12a|은신
12b|중단
12c|놓아주기
12d|직감적 선별 2
12e|직감적 선별 2
133|사일레스
134|파라이즈
135|헤이스트
136|슬로우
137|화염 보호막
138|얼음 보호막
139|번개 보호막
13a|물리 스톤스킨
13b|마법 스톤스킨
13c|스톤스킨
13d|고약한 숨결
13e|서리 숨결
13f|발굽차기
140|달려들기
141|거대한 뿔
142|돌 던지기
143|독 바르기
144|날치기
145|번개 강타
146|번개 폭풍
147|끈끈이 거미줄
148|부식성 분무
149|치명적 일격
14a|치명적 일격
14b|칼날 날개
14c|전율의 외침
14d|노른자 세례
14e|저돌맹진
14f|노발대발
150|아비규환
151|자폭
152|연소
153|폭굉
154|괴저병
155|지옥의 심판
156|영혼 흡수
157|죽음의 선고
158|씨앗 투척
159|시큼한 바람
15a|거친 바람
15b|찐득한 혀
15c|두꺼비 기름
15d|마구 핥기
15e|미세 블래스터
15f|전기 수염
160|혼돈의 눈
161|블래스터
162|호기심 발동
163|메가 블래스터
164|강철의 정의
165|왕의 유언
166|고통의 칼날
167|면죄의 칼날
168|회개의 칼날
169|평날검
16a|정신파괴
16b|흡혈의 손길
16c|산성 안개
16d|산성 안개
16e|산성 안개
16f|산성 안개
170|눈 찌르기
171|돌 던지기
172|폭격
173|창궐
174|부패
175|반월베기
176|호두 껍질
177|호두 껍질
178|호두 껍질
179|전광석화
17a|흡혈
17b|초음파
17c|초음파
17d|액체 살포
17e|점액 살포
17f|망각액 살포
180|선동
181|선동
182|선동
183|깨물기
184|부식성 침
185|부식성 침
186|주둥이 꽂기
187|흡혈
188|흡혈
189|섬광 폭발
18a|잔잔한 빛
18b|속박의 주문
18c|균사 채찍
18d|역겨운 구름
18e|수면의 구름
18f|천방지축
190|정열의 율동
191|열광의 일격
192|헤이스트
193|제국식 강장제
194|제국식 흥분제
195|폭탄 던지기
196|폭탄 던지기
197|폭죽 세례
198|광란의 소요
199|독 송곳니
19a|석화 시선
19b|재주넘기
19c|꼬리 휘두르기
19d|화염구
19e|소음 공해
19f|채찍질
1a0|황금 혀
1a1|거북 발구르기
1a2|등딱지 강화
1a3|몸통베기
1a4|숫돌
1a5|분노의 일격
1a6|크게 휘두르기
1a7|폭풍 전야
1a8|세찬 돌풍
1a9|리플렉트
1aa|인파이어
1ab|인블리자드
1ac|인에어로
1ad|인스톤
1ae|인선더
1af|인워터
1b0|드레인
1b8|빽빽한 나뭇가지
1b9|나뭇가지 폭풍
1ba|도토리 폭탄
1bb|돌머리
1bc|바위 우레
1bd|진정한 투지
1be|번개 숨결
1bf|登場
1c0|썩은 물보라
1c1|기분 나쁜 빛
1c2|신비한 빛
1c3|攻撃
1c4|뜨거운 바람
1c5|소각
1c6|폭렬 난사
1c7|용암 분출
1c8|광휘의 불기둥
1c9|진홍 회오리
1ca|지옥의 화염
1cb|イフリート：ジャンプ
1cc|イフリート：着地
1cd|イフリート：炎獄の楔召喚
1ce|イフリート：角復活
1cf|イフリート：怒りオン
1d0|炎獄の楔：出現
1d1|炎獄の楔：死亡
1da|만용
1db|삼연타
1dc|발놀림
1dd|급소 노리기
1de|손등치기
1df|흥망성쇠
1e0|광합성
1e1|활성화
1e2|대지 균열
1e3|낙석
1e4|석회화
1e5|汎用：詩人技：回避アップ歌
1e6|汎用：詩人技：攻撃アップ歌
1e7|汎用：詩人技：防御アップ歌
1e8|맹독의 손길
1e9|달콤한 검격
1ea|화염신장
1eb|무아지경
1ec|꿰뚫는 화살
1ed|汎用：巴術技：単体スロウ
1ee|汎用：巴術技：単体防御DOWN
1ef|유치한 속임수
1f0|모래 뿌리기
1f1|몸통 박기
1f2|싸늘한 시선
1f3|석화의 눈빛
1f4|폭주
1f5|바늘 50개
1f6|바늘 100개
1f7|바늘 1,000개
1f8|망치부리
1f9|석화 숨결
1fa|마비 숨결
1fb|독 숨결
1fc|최면 숨결
1fd|울부짖기
1fe|물어뜯기
1ff|흡혈 물어뜯기
200|저주의 시선
201|공포의 시선
202|레벨 5 석화
203|경질화
204|갑각 파열
205|화염 태풍
206|벼락 세례
207|번개 송곳니
208|박치기
209|괴성
20a|라놀린
20b|날카로운 턱
20c|산성 분무
20d|드릴 대포
20e|합금 드릴
20f|한계 돌파
210|모래 숨결
211|모래폭풍
212|독 숨결
213|대지 파괴
214|지진
215|모래기둥
216|웅장한 검격
217|웅장한 타격
218|분열
219|마도 레이저
21a|과열
21b|고갈
21c|마도 필드
21d|물기
21e|물 뿌리기
21f|모래 흩뿌리기
220|광란의 포식
221|압사 발구르기
222|쿠자타: 마비 음파 공격
223|지진 균열
224|불러들이기
225|쿠자타: 낭랑한 울음소리
226|쿠자타: 급속 돌진
227|흙투성이
228|가시털 날리기
229|철갑
22a|수류탄
22b|물대포
22c|물의 구체
22d|찢어베기
22e|타액 발사
22f|용의 숨결
230|화강암 세례
231|돌려차기
232|대규모 폭발
233|유독성 토사물
234|착지
235|カラードラゴン：飛び立ち消滅
236|거품 세례
237|가위손
238|거품목욕
239|집게몰이
23a|쪼기
23b|노린내
23c|썩은 트림
23d|날아라 정어리
23e|음식 역류
23f|두들겨 부수기
240|빨아들이기
241|구부: 삼키기
242|구부: 뱉어내기
243|곰팡이 재채기
244|역겨운 재채기
245|아토모스: 삼키기
246|아토모스: 뱉어내기
247|괴이한 시선
248|부패 브레스
249|저주
24a|원한
24b|투과
24c|마비 촉수
24d|가시 촉수
24e|찢어지는 비명
24f|몸통 박치기
250|자장가
251|달콤한 향기
252|절규
253|내던지기
254|야만스러운 포효
255|ドラゴン毒沼：発生ループ
256|ドラゴン毒沼：消滅
257|생명수
258|뼛가루
259|부리 휘두르기
25a|애통한 외침
25b|새된 외침
25c|역한 입냄새
25d|달콤한 입냄새
25e|꼬챙이
25f|방어 기동
260|찢어발기기
261|큰손
262|강철 발톱
263|デスクロー：デスクロー解除
264|뼈대 꺾기
265|팔꿈치 찍기
266|속쓰림
267|건망증
268|열기
269|열광
26a|연속 타격
26b|문드러진 꼬리
26c|잔혹한 도살자
26d|잔혹한 빛무리
26e|황폐화
26f|지옥의 사자
270|잔혹한 운명
271|10톤즈 후려치기
272|10톤즈 휘두르기
273|100톤즈 후려치기
274|100톤즈 휘두르기
275|노려보기
276|동물적 본능
277|아이 오브 비홀더
278|불꽃 비늘
279|할퀴기
27a|토파즈의 빛
27b|웅크리기
27c|몸통 박치기
27d|돌풍
27e|날리기
27f|하강 기류
280|에메랄드의 광휘
281|바위 쪼개기
282|격진
283|산 쪼개기
284|대지의 무게
285|화강암 감옥
286|타이탄: 시한폭탄 바위
287|잔혹한 도살자
288|잔혹한 운명
289|황폐화
28a|산사태
28b|대지 붕괴
28c|대지의 분노
28d|タイタン：心臓露出
28e|タイタン：飛ぶ
28f|タイタン：着地する
290|바람의 칼날
291|하강 기류
292|마녀의 수레바퀴
293|반동 기류
294|삭풍의 노래
295|삭풍의 비명
296|대기 폭발
297|대선풍
298|태풍의 눈
299|깃털창
29a|따뜻한 기류
29b|삭풍의 노래
29c|신기루
29d|광란의 소요
29e|지옥의 늪
29f|회오리
2a0|문드러진 꼬리
2a1|전자기학
2a2|방어 반응
2a3|화염 기류
2a4|화염 숨결
2a5|자폭
2a6|자폭
2a7|폭격
2a8|완전 파괴
2a9|아이즈 온 미
2aa|분리
2ab|하얀 숨결
2ac|ヒュドラ：首再生
2ad|화염 구체
2ae|화염 구체
2af|빙결 구체
2b0|빙결 구체
2b1|방사 브레스
2b2|바실리스크: 꼬리 공격
2b3|격노의 포효
2b4|대규모 충돌
2b5|ヘカトンケイルリーダー：壁殴り
2b6|분노의 포효
2b7|ヘカトンケイルメイジ：壁殴り
2b8|汎用：逃げる
2b9|파멸 영역
2ba|끈끈이 거미줄
2bb|蜘蛛：コチュー落下予兆
2bc|蜘蛛：コチュー落下
2bd|명주실 장막
2be|치명적 일격
2bf|거미: 독 지역
2c0|꼬리 허물벗기
2c1|암흑의 안개
2c2|섬뜩한 등불
2c3|섬뜩한 불꽃
2c4|ヒュドラ：右側首A破壊
2c5|ヒュドラ：右側首B破壊
2c6|ヒュドラ：左側首A破壊
2c7|ヒュドラ：左側首B破壊
2c8|ヒュドラ：右側首A復活
2c9|ヒュドラ：右側首B復活
2ca|ヒュドラ：左側首A復活
2cb|ヒュドラ：左側首B復活
2cc|용맹한 사격
2cd|재빠른 검격
2ce|방패 가격
2cf|경계
2d0|압도
2d1|새털 걸음
2d2|직선 찌르기
2d3|일제 사격
2d4|소화
2d5|액체 뿌리기
2d6|액체 뿌리기
2d7|액체 뿌리기
2d8|액체 뿌리기
2d9|汎用：詩人技：ヘヴィショット
2da|독액 살포
2db|흡혈
2dc|흡인
2dd|용암 분출
2de|광휘의 불기둥
2df|미아즈마 브레스
2e0|어둠의 파동
2e1|몸통 박치기
2e2|전기 파동
2e3|피의 발톱
2e4|공포의 눈길
2e5|공명
2e6|어둠의 축제
2e7|눈 찌르기
2e8|헤이스트
2e9|어둠의 가시
2ea|영혼 분리
2ed|대재앙
2ee|사악한 눈길
2ef|혼돈의 숨결
2f6|검은 구름
2f7|좀먹힌 우울
2f8|자욱한 근심
2fa|황혼의 칼날
2fb|단죄
2fc|대폭발
2fd|초폭발
2fe|방전
2ff|방전
300|혜성
301|폭사
302|낙뢰
303|대소용돌이
304|대소용돌이
305|사나운 뿔
306|ベヒーモス：二本足
307|호령
308|황도 메테오
309|공격
30a|투창 궁니르
30b|암흑강철 고삐
30c|참철검
30d|석화의 방
30e|슬픔의 방
30f|발크누트
310|둔화의 방
311|에인헤랴르
312|투지의 파동
313|바위 쪼개기
314|산 쪼개기
315|대지의 수호
316|산사태
317|대지의 분노
318|바람의 칼날
319|충격파
31a|대기 난도질
31b|악화
31c|대기 폭발
31d|진홍 회오리
31e|불타는 일격
31f|광휘의 방패
320|화염 작열
321|지옥의 화염
322|빛의 치유
323|빛의 속삭임
324|요정의 서약
325|요정의 광휘
326|빛의 치유
327|빛의 침묵
328|요정의 달빛
329|요정의 햇빛
32a|요정의 손길
32b|요정의 바람
331|초코 강타
332|초코 방어
333|초코 발차기
334|초코 내려찍기
335|초코 돌풍
336|초코 돌격
337|초코 쪼기
338|초코 때리기
339|초코 메디카
33a|초코 쇄도
33b|초코 케알
33c|초코 리제네
33d|백렬권
33e|汎用：絶対回避
33f|コボルド：大型爆弾
340|コボルド：範囲被ダメージカット
341|コボルド：範囲被ダメージカット強
342|도약 공격
343|기습
344|シュポシェ池：出現予兆
345|シュポシェ池：予兆解除
346|シュポシェ池：出現
347|폭탄 기폭
348|대폭탄 기폭
356|보이드 파이가
357|보이드 파이라
358|보이드 선더가
359|폭탄 집어던지기
35a|이단 찌르기
35b|얼음 보호막
35c|영혼 흡수
35d|고주망태권
35e|소형 폭탄 기폭
35f|도토리 작렬탄
360|화염 작열
361|야생의 일격
362|강력한 찌르기
363|요마 소환
364|유혹
365|싸늘한 안개
366|공격
367|공격
368|공격
369|공격
36a|공격
36b|공격
36c|공격
36d|공격
36e|공격
36f|공격
370|공격
371|공격
372|공격
373|공격
374|공격
375|공격
376|공격
377|공격
378|공격
379|공격
37a|공격
37b|공격
37c|공격
37d|공격
37e|공격
37f|공격
380|공격
381|공격
382|공격
383|공격
384|토네이도
385|할퀴기
386|화염 숨결
387|징벌
388|새싹치기
389|새싹돌기
38a|줄기 치기
38b|작은 발톱
38c|FF11クラブ：泡ブレス
38d|회전 돌진
38e|물의 벽
38f|암흑 구체
390|힐난
391|고통의 채찍
392|가스 연막
393|곰발톱
394|깃털 날리기
395|선풍
396|예리한 벌침
397|마지막 벌침
398|기습 파열
399|바람베기
39a|산들바람 외투
39b|순환
39c|둔화의 외침
39d|FF12ミリアムガード：マップOBJ召喚武器投げ
39e|FF12ミリアムガード：マップOBJ召喚4つ同時
39f|다가오는 어둠
3a0|다크
3a1|파멸의 선
3a2|파멸의 파동
3a3|살육
3a4|삼단베기
3a5|끔찍한 포효
3a6|죽음의 광선
3a7|꼬리 휘두르기
3a8|압살 송곳니
3a9|압사
3aa|위협
3ab|세로베기
3ac|거대 낫질
3ad|곰팡이 가래침
3ae|구부의 비탄
3af|집단구타
3b1|칼갈이
3b2|저주의 말
3b3|모두의 원한
3b4|급소 찌르기
3b5|저주의 유언
3b6|빨아들이기
3b7|아이즈 온 미
3b8|アーリマン：仲間を呼ぶ
3b9|청린 기둥
3ba|소방용수
3bb|암석의 질주
3bc|모래기둥
3bd|모래기둥
3be|황폐화
3bf|모래기둥
3c0|가고일: 암흑의 늪 발동
3c1|透明：ガーゴイル暗黒沼発生
3c2|역청의 바다
3c3|만용
3c4|생명수
3c5|쪼기
3c6|파이어
3c7|블리자드
3c8|선더
3c9|에어로
3ca|스톤
3cb|워터
3cc|컬랩스
3cd|대지의 무게
3ce|신경 파괴
3cf|목 비틀기
3d0|핥기
3d1|뚜껑 따기
3d2|늪지 폭탄
3d3|불쾌한 냄새
3d4|늪지의 거품
3d5|썩은 물보라
3d6|신비한 빛
3d7|끌어당기기
3d8|화염 태풍
3d9|벼락 세례
3da|회전 돌진
3db|정신파괴
3dc|흡혈의 손길
3dd|크게 휘두르기
3de|음향 폭탄
3df|허세
3e0|고블린 공격
3e1|대화염
3e2|うろこトカゲ：雷属性ON
3e3|대방전
3e4|거품 작렬
3e5|검은 살의
3e6|암흑의 지붕
3e7|신경 파괴
3e8|모래 뿌리기
3e9|다텔레포
3ea|들이받기
3eb|강철 폭풍
3ec|타액 발사
3ed|압도
3ee|힘겨운 뜀뛰기
3ef|대폭발
3f0|스톤스킨
3f1|케알
3f2|몸통 박기
3f3|벼락 세례
3f4|연속 타격
3f6|산성 안개
3f7|칼날 날개
3f8|워터라
3f9|붕괴
3fa|독가시 꼬리
3fb|태풍
3fc|태풍
3fd|작열지옥
3fe|서리 숨결
3ff|얼음판
400|얼음판
401|분노의 서릿발
402|인두질
403|착지
404|폭설
405|大砲：発射：成功
406|작열지옥
407|마구 때리기
408|금빛 쇄도
409|금빛 먼지
40a|10톤즈 후려치기
40b|100톤즈 후려치기
40c|역한 입냄새
40d|꼬챙이
40e|점균 폭발
40f|점균 발사
410|싹틔우기
411|ベビーモルボル専用：AA/モルボル菌つき
412|유독 가스
413|유독 가스
414|죽음의 수렁
415|액화
416|액화
417|밀쳐내기
418|보이드 파이라
419|번개 강타
41a|번개 폭풍
41b|충격
41c|대폭발
420|격려
421|독액 분사
423|레벨 5 데스
424|기름 화살
425|원초적 진노
426|원초적 분노
428|창공의 화룡 강타
429|용기의 영예
42a|인내의 영예
42b|무적의 진격 행진곡 (임시)
42c|작렬파
42d|거품 작렬
42e|위로의 노래
42f|플라스마 방출
430|괴이한 시선
431|꼬리쓸기
432|참사 도래
433|열병의 독기
434|흑사병 구름
435|공포의 눈길
436|정신 붕괴
437|병폐
438|재활성
439|씨뿌리기
43a|요마 소환
43b|보이드 파이가
43c|보이드 파이라
43d|보이드 선더가
43e|낙석
43f|대지 균열
440|완전 파괴
441|실명의 비약
442|곰팡이 재채기
443|염증 파열
444|메테오 스트라이크
445|파동 충격
446|파동탄
447|정신집중
448|정신집중
449|번개 강타
44a|외면의 기개
44b|핏자국
44c|힐난
44d|화염 숨결
44e|냉기 숨결
44f|번개 숨결
450|빙결의 포효
451|뇌전의 포효
452|차디찬 시선
453|불협화음
454|혼돈의 대합창
455|아래턱 물기
456|포름산 페로몬
457|모래 태풍
458|모래늪
459|모래기둥
45a|아이즈 온 미
45b|소방용수
45c|별자리 지도
45d|사일레스
45e|파라이즈
45f|슬로우
460|워터
461|암석의 질주
462|뼈대 꺾기
463|뼈대 꺾기
464|팔꿈치 찍기
465|연속 타격
466|다텔레포
467|유린
468|마도포
469|마도 광자포
46a|힘겨운 뜀뛰기
46b|열기
46c|지옥의 사자
46d|초대형 폭탄
46e|포격
46f|두 동강 내기
470|붕괴
471|방패 찌르기
472|타르타로스의 바람
473|타르타로스의 문
474|유산탄
475|철갑탄
476|화염탄
477|마도 미사일
478|마도 미사일
479|무아삼각권
47a|종횡질풍참
47b|뇌광수면축
47c|아글라이아 쌍격
47d|맹수화염격
47e|아글라이아 상승격
47f|공격 명령
480|측면 휘두르기
481|묠니르 내리치기
482|묠니르 회전타
483|묠니르 상승격
484|강화 회전타
485|강화 상승격
486|강화 내리치기
487|눈에는 눈
488|각성
489|석화의 눈빛
48a|용의 피
48b|썩은 고기
48c|정신의 화살
48d|급소 찌르기
48e|점액 살포
48f|에테르 방사
490|魔導ジャガーノート：GT攻撃
491|魔導ジャガーノート：前方扇範囲攻撃
492|동화
493|중화
494|마도 광자포
495|アルテマウェポン：アルテマ弾/生成
496|폭뢰 기폭
497|확산 레이저
498|마도 레이저
499|마도 레이저
49a|마도 레이저
49b|청린 방출
49c|유도 레이저
49d|투석
49e|폭렬 난사
49f|대기 폭발
4a0|산사태
4a1|바위 던지기
4a2|용암 분출
4a3|대지의 분노
4a4|광휘의 불기둥
4a5|지옥의 화염
4a6|마도 플레어
4a7|맹공포
4a8|유폭
4a9|알테마
4aa|알테마 파동
4ab|순수
4ac|제IX호
4ad|제국의 손
4ae|파멸의 종착역
4af|선고
4b0|人型：黒将軍/魔導火フィールド
4b1|심판의 날
4b2|파멸의 종착역
4b3|심판의 날
4b4|마도포
4b5|휩쓸기
4b6|휩쓸기
4b7|공격
4b8|머리 휘두르기
4b9|꼬리 휘두르기
4ba|게워내기
4bb|강철 비늘
4bc|유포
4bd|파열
4be|단물
4bf|공격
4c0|고압 전류
4c1|격퇴포
4c2|알라그 부패
4c3|알라그 부패
4c4|중력장
4c5|무게추 깔기
4c6|무게추 깔기
4c7|무게추 깔기
4c8|진공파
4c9|번개 사슬
4ca|화염 기류
4cb|투과 레이저
4cc|해체 흡수
4cd|물체 199
4ce|피 빨기
4cf|둥글게 휘두르기
4d0|급속 냉각
4d1|둥글게 휘두르기
4d2|급속 냉각
4d3|자동반격 시스템
4d4|중력포
4d5|두창
4d6|원심 타격
4d7|자기 강화 프로그램
4d8|곤두박질
4d9|사형 선고
4da|사형 선고
4db|지옥의 늪
4dc|불보라
4dd|불보라
4de|화염구
4df|급강하 폭격
4e0|에테르 홍수
4e1|회오리
4e2|회오리
4e3|짓밟힌 의지
4e4|연쇄 폭파
4e5|연쇄 폭파
4e6|화염구
4e7|마력 방출
4e8|마력 방출
4e9|집어던지기
4ea|긴급 체제 변환
4eb|저주의 칼날
4ec|장송격
4ed|흐느낌
4ee|유령의 보주
4ef|소각 처분
4f0|증기 세정
4f1|분쇄의 철퇴
4f2|초열지옥
4f3|대기의 포효
4f4|무거운 충격
4f5|강림
4f6|선더라
4f7|신 드라이브
4f8|공격
4f9|공격
4fa|공격
4fb|유폭
4fd|작열지옥
4fe|삼두정치
4ff|비열한 채찍
500|공포의 안개
501|용기
502|전갈 독침
503|전류 충전
504|얼음 충전
505|빙결의 포효
506|성능 향상
507|빛의 구원
508|정신 속박
509|중력 가격
50a|스톱
50b|후방 이동
50c|측면 이동
50d|측면 이동
50e|신속한 그림자
50f|고통의 폭염
510|다텔레포
511|불타는 촉수
512|불타는 촉수
513|두 동강 내기
514|돌격
515|명왕
516|재생
517|표리부동
518|다크 블리자가
519|다크 파이가
51a|소환
51b|소환 2
51c|산성 안개
51d|독가시 꼬리
51f|번개 그물
520|스톤스킨
521|내면의 야수
522|해병의 정신력
523|번개 사슬
524|얼음쐐기 지대
525|좀비 소환
526|점프
527|용의 저주
528|용의 저주
529|용의 저주
52b|광휘의 방패
52c|지옥의 화염
52d|공격
52f|모두의 원한
530|누군가의 원한
531|유혹의 노래
532|지옥의 심판
533|스톤
534|대지의 분노
535|바위 우레
536|충격파
537|대기 폭발
538|냉기 숨결
539|번개 숨결
53a|뇌전의 포효
53b|차디찬 시선
53c|불협화음
53d|불안정한 원소
53e|화염 숨결
53f|무게추 깔기
540|포격
541|빛의 가호
542|공격
543|공격
544|최후의 만찬
545|아마겟돈
546|공격
548|공격
549|소각
54a|폭렬 난사
54b|용암 분출
54c|광휘의 불기둥
54d|지옥의 화염
54e|용암 분출
54f|광휘의 불기둥
550|바위 쪼개기
551|격진
552|대지의 무게
553|대지의 무게
554|산사태
555|대지 붕괴
556|대지의 분노
557|웅장한 검격
558|웅장한 타격
559|분열
55a|마도 레이저
55b|과열
55c|고갈
55d|마도 필드
55e|암흑 구체
55f|역청의 바다
560|밤의 손아귀
561|섀도우 플레어
562|오염 대포
563|바람의 칼날
564|하강 기류
565|마녀의 수레바퀴
566|반동 기류
567|삭풍의 노래
568|삭풍의 비명
569|대기 폭발
56a|대선풍
56b|태풍의 눈
56c|깃털창
56d|따뜻한 기류
56e|삭풍의 노래
56f|역청의 바다
570|저주의 말
571|독 숨결
572|파이어
573|블리자드
574|선더
575|에어로
576|스톤
577|마도 레이저
578|마도 레이저
579|마도 레이저
57a|용암 분출
57b|광휘의 불기둥
57c|진홍 회오리
57d|지옥의 화염
57e|대폭발
57f|대지 붕괴
580|대지의 분노
581|삭풍의 노래
582|태풍의 눈
583|대기 폭발
584|공격
585|살육
586|삼단베기
587|공격
588|돌머리
589|바위 우레
58a|진정한 투지
58b|낙석
58c|공격
58d|마도 레이저
58e|마도 레이저
58f|마도 레이저
590|대지의 무게
591|웅장한 검격
592|마도 레이저
593|고갈
594|웅장한 타격
595|마도 광자포
596|마도포
597|마도 광자포
598|마도포
599|드릴 대포
59a|합금 드릴
59b|한계 돌파
59c|빛의 가호
59d|포격
59e|마도 광자포
59f|마도포
5a0|다크 블리자가
5a1|다크 파이가
5a2|뇌전의 포효
5a3|작렬파
5a4|생명수
5a5|완전 파괴
5a6|바위 우레
5a7|고압 전류
5a8|격퇴포
5a9|번개 사슬
5aa|투과 레이저
5ab|불보라
5ac|화염구
5ad|마력 방출
5ae|포식
5af|큰손
5b0|급강하 폭격
5b1|지옥의 늪
5b2|사형 선고
5b3|공격
5b4|공격
5b5|공격
5b7|바위 쪼개기
5b8|산 쪼개기
5b9|격진
5ba|대격진
5bb|산사태
5bc|산사태
5bd|대지의 무게
5be|대지의 무게
5bf|대폭발
5c0|대지 붕괴
5c1|대지의 분노
5c2|대격진
5c3|산사태
5c4|격진
5c5|화강암 무덤
5ca|공격
5cb|죽은 자의 노래
5cc|습격
5cd|광기의 노래
5ce|고통의 노래
5cf|망자의 노래
5d0|공격
5d1|광란
5d2|부식성 토사물
5d3|날개바람
5d4|원심 타격
5d5|상승
5d6|음파 폭풍
5d7|하강
5d8|공격
5d9|폭음 파동
5da|부패의 사격
5db|부패의 침
5dc|부패 작렬
5dd|공중 사격
5de|기가 슬래시
5df|흡착식 에테르 폭뢰
5e0|청린 방출
5e1|유도 레이저
5e2|확산 레이저
